VPN,Bedingung,Alter,Geschlecht,Hï¿½ndig,Studienfach,Semester,UBS A ,TS A ,UBS B ,TS B,UBS C,TS C
1,1,20,1,1,1,1,6,36,6,36,5,25
2,2,20,2,1,1,3,7,63,6,36,6,42
3,3,19,1,1,1,1,7,56,7,56,8,80
4,4,20,1,1,1,1,5,30,4,16,5,25
5,5,22,2,1,2,3,8,88,7,70,7,63
6,6,26,1,2,1,3,8,72,7,63,8,88
7,1,25,2,2,1,3,7,70,7,70,8,80
8,2,20,1,1,1,1,6,42,7,56,8,72
9,3,21,1,1,1,1,5,30,6,42,5,30
10,4,46,2,1,1,1,5,30,6,42,5,30
11,5,19,1,2,1,1,5,30,7,56,6,36
12,6,20,1,2,1,1,6,42,6,48,7,56
13,1,20,1,1,1,1,6,48,7,63,6,48
14,2,18,1,1,1,1,8,80,8,88,7,49
15,3,19,1,2,1,1,6,36,6,42,6,42
16,4,20,1,1,1,1,6,42,7,63,6,42
17,5,19,1,1,1,1,7,56,6,48,8,64
18,6,21,1,1,1,1,8,80,5,30,7,56
19,1,24,2,1,1,1,8,80,7,56,7,49
20,2,23,1,2,1,1,4,16,6,36,3,6
21,3,21,1,1,1,3,6,36,5,30,6,30
22,4,19,2,1,1,3,6,48,6,42,6,48
23,5,20,1,1,1,1,6,42,7,63,5,30
24,6,27,2,1,1,1,5,25,6,48,6,48
25,1,19,1,1,1,1,5,30,6,48,5,25
26,2,21,1,1,1,1,5,30,6,42,7,56
27,3,20,2,2,1,1,5,30,6,42,7,56
28,4,19,1,1,1,1,7,49,7,63,7,63
29,5,50,1,1,1,1,6,48,6,42,6,42
30,6,21,1,1,2,3,7,42,6,42,6,42
31,1,21,1,1,1,1,6,48,6,42,6,36
32,2,21,1,1,1,4,9,90,8,72,8,88
33,3,20,1,1,1,1,7,63,6,48,6,48
34,4,42,2,1,1,1,6,48,7,49,6,48
35,5,53,2,2,1,1,6,48,7,70,7,63
36,6,20,2,1,1,1,7,56,6,36,6,42
37,1,22,2,1,1,1,7,56,7,63,6,48
38,2,19,2,1,1,1,5,30,6,42,7,49
39,3,20,1,1,1,1,7,63,6,48,7,70
40,4,19,1,1,1,1,6,42,7,63,6,48
41,5,20,2,1,1,1,9,108,6,48,7,63
42,6,19,1,1,1,3,6,42,8,80,6,42
43,1,20,1,1,1,1,7,56,6,36,8,64
44,2,19,1,1,1,1,5,30,5,25,6,36
45,3,20,1,1,1,3,7,63,6,42,5,25
46,4,20,1,1,1,1,6,48,7,63,6,48
47,5,22,1,1,1,3,6,36,7,56,5,25
48,6,22,1,1,1,1,7,63,6,48,6,42
49,1,21,1,2,1,1,6,42,6,48,5,30
50,2,19,1,1,1,3,6,48,6,42,6,36
51,3,20,1,1,1,1,7,56,5,30,7,49
52,4,20,1,1,1,1,6,42,5,30,6,42
